"","Filename","Priority","Title","Author","Origin","Call Number","Page Number","Page Sort","Genre","Luna URL","Hamnet URL"
"5065","091458.jpg",11397,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3434","2r",11467,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195136~191331","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5066","091459.jpg",11398,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3434","2v",11468,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195137~191330","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5067","091460.jpg",11399,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3435","1r",11469,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195138~191329","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5068","091461.jpg",11400,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3435","1v",11470,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195139~191328","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5069","091462.jpg",11401,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3435","2r",11471,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195140~191327","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5070","091463.jpg",11402,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3435","2v",11472,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195141~191326","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5071","091464.jpg",11403,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3436","1r",11473,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195142~191325","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5072","091465.jpg",11404,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3436","1v",11474,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195143~191324","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5073","091466.jpg",11405,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3436","2r",11475,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195144~191323","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5074","091467.jpg",11406,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3436","2v",11476,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195145~191322","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
